Id,Category
0,12
1,9
2,2
3,0
4,9
5,1
6,0
7,1
8,12
9,8
10,12
11,9
12,9
13,0
14,9
15,11
16,0
17,2
18,5
19,5
20,12
21,2
22,5
23,9
24,6
25,5
26,0
27,9
28,8
29,1
30,12
31,1
32,2
33,6
34,1
35,7
36,12
37,1
38,0
39,2
40,1
41,10
42,8
43,10
44,2
45,11
46,10
47,12
48,4
49,11
50,6
51,2
52,11
53,11
54,1
55,11
56,12
57,8
58,7
59,9
60,3
61,11
62,6
63,4
64,7
65,9
66,9
67,7
68,8
69,4
70,8
71,12
72,10
73,0
74,6
75,12
76,10
77,0
78,11
79,2
80,10
81,6
82,7
83,4
84,6
85,1
86,8
87,7
88,8
89,11
90,8
91,7
92,8
93,10
94,7
95,3
96,6
97,8
98,4
99,5
100,8
101,0
102,10
103,2
104,9
105,1
106,4
107,7
108,2
109,7
110,3
111,12
112,11
113,2
114,12
115,11
116,2
117,9
118,4
119,11
120,8
121,6
122,5
123,1
124,2
125,12
126,9
127,11
128,2
129,2
130,9
131,5
132,1
133,8
134,4
135,1
136,8
137,9
138,11
139,11
140,0
141,0
142,11
143,0
144,12
145,9
146,8
147,12
148,7
149,3
150,1
151,11
152,10
153,4
154,0
155,5
156,1
157,4
158,0
159,11
160,1
161,3
162,9
163,11
164,6
165,6
166,5
167,12
168,8
169,1
170,8
171,1
172,8
173,11
174,10
175,4
176,6
177,8
178,1
179,12
180,6
181,3
182,5
183,5
184,9
185,7
186,11
187,8
188,12
189,3
190,0
191,8
192,11
193,6
194,6
195,7
196,8
197,8
198,11
199,7
200,12
201,9
202,5
203,12
204,5
205,11
206,11
207,5
208,0
209,3
210,4
211,3
212,9
213,11
214,8
215,10
216,9
217,8
218,5
219,2
220,12
221,6
222,11
223,7
224,6
225,4
226,6
227,12
228,1
229,5
230,0
231,11
232,8
233,11
234,4
235,9
236,1
237,8
238,6
239,6
240,7
241,0
242,12
243,1
244,12
245,12
246,1
247,10
248,9
249,8
250,8
251,8
252,2
253,0
254,5
255,2
256,3
257,2
258,6
259,10
260,10
261,5
262,1
263,4
264,5
265,1
266,1
267,4
268,1
269,6
270,4
271,2
272,5
273,2
274,4
275,4
276,2
277,3
278,0
279,10
280,10
281,12
282,1
283,12
284,11
285,3
286,8
287,6
288,1
289,1
290,0
291,9
292,1
293,0
294,3
295,3
296,2
297,0
298,6
299,10
300,7
301,10
302,4
303,8
304,7
305,3
306,5
307,0
308,9
309,2
310,6
311,4
312,7
313,9
314,11
315,5
316,3
317,7
318,9
319,1
320,4
321,5
322,5
323,1
324,6
325,9
326,8
327,4
328,3
329,10
330,2
331,11
332,0
333,5
334,0
335,9
336,3
337,3
338,6
339,9
340,7
341,9
342,1
343,8
344,6
345,2
346,7
347,8
348,3
349,12
350,12
351,6
352,6
353,9
354,3
355,3
356,1
357,9
358,3
359,11
360,8
361,3
362,7
363,2
364,10
365,0
366,8
367,0
368,7
369,1
370,11
371,10
372,9
373,7
374,11
375,8
376,5
377,0
378,3
379,9
380,6
381,8
382,9
383,9
384,0
385,7
386,9
387,7
388,12
389,0
390,7
391,8
392,5
393,3
394,3
395,6
396,7
397,4
398,8
399,9
400,6
401,11
402,2
403,10
404,6
405,3
406,8
407,7
408,4
409,1
410,7
411,0
412,12
413,0
414,9
415,9
416,1
417,2
418,8
419,9
420,3
421,9
422,8
423,6
424,9
425,12
426,0
427,9
428,8
429,4
430,2
431,9
432,6
433,0
434,12
435,2
436,1
437,6
438,7
439,12
440,5
441,5
442,7
