Id,Category
0,6
1,8
2,8
3,11
4,12
5,11
6,6
7,6
8,8
9,11
10,11
11,6
12,11
13,12
14,11
15,11
16,6
17,11
18,12
19,6
20,8
21,11
22,12
23,8
24,6
25,11
26,8
27,6
28,11
29,6
30,6
31,11
32,6
33,11
34,6
35,6
36,6
37,8
38,6
39,12
40,12
41,6
42,8
43,12
44,6
45,11
46,6
47,11
48,12
49,8
50,8
51,8
52,12
53,6
54,12
55,11
56,8
57,12
58,6
59,8
60,11
61,8
62,6
63,8
64,12
65,12
66,11
67,6
68,6
69,8
70,11
71,6
72,3
73,8
74,6
75,11
76,11
77,3
78,12
79,11
80,11
81,6
82,12
83,11
84,6
85,6
86,11
87,6
88,11
89,6
90,6
91,11
92,8
93,11
94,12
95,11
96,6
97,8
98,12
99,11
100,11
101,11
102,11
103,11
104,12
105,6
106,11
107,8
108,8
109,8
110,6
111,11
112,6
113,12
114,8
115,6
116,8
117,6
118,11
119,8
120,8
121,6
122,12
123,12
124,6
125,6
126,12
127,8
128,6
129,11
130,6
131,3
132,6
133,8
134,6
135,11
136,6
137,6
138,11
139,12
140,6
141,6
142,11
143,8
144,6
145,12
146,3
147,8
148,6
149,6
150,11
151,12
152,12
153,6
154,12
155,8
156,6
157,6
158,11
159,6
160,6
161,8
162,11
163,6
164,6
165,6
166,6
167,11
168,8
169,8
170,8
171,6
172,12
173,6
174,11
175,12
176,11
177,11
178,6
179,8
180,12
181,12
182,12
183,12
184,6
185,12
186,6
187,6
188,3
189,6
190,11
191,12
192,11
193,6
194,11
195,11
196,6
197,12
198,6
199,12
200,11
201,6
202,6
203,6
204,6
205,11
206,11
207,11
208,6
209,11
210,12
211,11
212,8
213,11
214,12
215,6
216,8
217,11
218,11
219,6
220,12
221,6
222,8
223,8
224,6
225,11
226,12
227,6
228,6
229,11
230,11
231,8
232,6
233,11
234,11
235,8
236,11
237,6
238,8
239,11
240,6
241,6
242,11
243,11
244,11
245,11
246,6
247,6
248,11
249,11
250,12
251,11
252,6
253,6
254,6
255,8
256,6
257,12
258,12
259,6
260,8
261,6
262,11
263,8
264,11
265,11
266,6
267,6
268,11
269,11
270,12
271,6
272,11
273,11
274,6
275,11
276,6
277,8
278,11
279,11
280,11
281,6
282,6
283,8
284,6
285,11
286,11
287,6
288,11
289,11
290,6
291,11
292,8
293,8
294,6
295,8
296,8
297,8
298,6
299,6
300,6
301,11
302,11
303,11
304,11
305,6
306,8
307,6
308,6
309,6
310,11
311,8
312,11
313,8
314,6
315,6
316,11
317,11
318,6
319,12
320,12
321,6
322,11
323,6
324,8
325,11
326,12
327,6
328,11
329,8
330,11
331,3
332,6
333,3
334,6
335,12
336,12
337,11
338,6
339,6
340,12
341,6
342,6
343,6
344,8
345,6
346,11
347,11
348,6
349,6
350,6
351,8
352,8
353,6
354,6
355,11
356,11
357,8
358,8
359,8
360,11
361,11
362,6
363,12
364,6
365,6
366,6
367,6
368,6
369,6
370,12
371,8
372,6
373,6
374,11
375,11
376,12
377,12
378,12
379,6
380,6
381,6
382,11
383,11
384,6
385,8
386,8
387,6
388,8
389,11
390,6
391,6
392,6
393,6
394,11
395,6
396,8
397,6
398,6
399,11
400,12
401,12
402,6
403,8
404,12
405,6
406,11
407,8
408,11
409,12
410,12
411,6
412,11
413,6
414,6
415,6
416,6
417,6
418,12
419,12
420,12
421,8
422,11
423,12
424,6
425,8
426,8
427,11
428,8
429,8
430,6
431,6
432,6
433,6
434,6
435,6
436,6
437,3
438,12
439,6
440,12
441,12
442,6
443,11
444,6
445,12
446,6
447,11
448,12
449,6
450,8
451,6
452,6
453,6
454,12
455,6
456,11
457,8
458,11
459,11
460,11
461,11
462,12
463,11
464,11
465,11
466,11
467,6
468,11
469,8
470,6
471,11
472,6
473,11
474,11
475,12
476,11
477,11
478,3
479,11
480,11
481,11
482,6
483,6
484,6
485,11
486,11
487,6
488,6
489,8
490,8
491,12
492,8
493,12
494,11
495,6
496,11
497,12
498,11
499,6
500,6
501,11
502,12
503,12
504,6
505,6
506,12
507,6
508,8
509,6
510,6
511,6
512,12
513,12
514,11
515,11
516,11
517,12
518,11
519,12
520,11
521,11
522,11
523,6
524,6
525,11
526,12
527,12
528,11
529,6
530,11
531,8
532,11
533,6
534,11
535,8
536,11
537,6
538,6
539,6
540,11
541,6
542,6
543,6
